Afghanistan,Kabul,34∞32'N,69∞10'E
Andorra,Andorra la Vella,42∞30'N,1∞30'E
Angola,Huambo,12∞46'S,15∞44'E
Angola,Luanda,8∞50'S,13∞14'E
Antigua and Barbuda,St. John's,17∞07'N,61∞51'W
Argentina,Buenos Aires,34∞36'S,58∞23'W
Argentina,Trelew,43∞15'S,65∞18'W
Argentina,RÃ_o Gallegos,51∞38'S,69∞13'W
Argentina,Rosario,32∞57'S,60∞40'W
Argentina,Comodoro Rivadavia,45∞52'S,67∞29'W
Argentina,Esperanza,63∞24'S,56∞59'W
Argentina,San Miguel de TucumÃ¡n,26∞49'S,65∞13'W
Argentina,Mendoza,32∞53'S,68∞49'W
Armenia,Yerevan,40∞11'N,44∞31'E
Australia,Geelong,38∞09'S,144∞21'E
Australia,Mandurah,32∞32'S,115∞43'E
Australia,Cairns,16∞56'S,145∞47'E
Australia,Adelaide,34∞56'S,138∞36'E
Australia,Darwin,12∞27'S,130∞50'E
Australia,Sydney,33∞52'S,151∞13'E
Australia,Perth,31∞57'S,115∞52'E
Australia,Port Hedland,20∞19'S,118∞36'E
Australia,Wollongong,34∞26'S,150∞53'E
Australia,Rockhampton,23∞23'S,150∞31'E
Australia,Melbourne,37∞49'S,144∞58'E
Austria,Innsbruck,47∞16'N,11∞23'E
Austria,Linz,48∞18'N,14∞17'E
Austria,Vienna,48∞13'N,16∞22'E
Azerbaijan,Baku,40∞24'N,49∞53'E
Bahamas,Nassau,25∞04'N,77∞20'W
Bangladesh,Chittagong,22∞22'N,91∞48'E
Bangladesh,Dhaka,23∞42'N,90∞23'E
Barbados,Bridgetown,13∞06'N,59∞37'W
Belgium,Ghent,51∞03'N,3∞44'E
Belgium,Antwerp,51∞13'N,4∞24'E
Belize,Belmopan,17∞15'N,88∞46'W
Bhutan,Thimphu,27∞28'N,89∞39'E
Bolivia,La Paz,16∞30'S,68∞09'W
Bolivia,Santa Cruz de la Sierra,17∞48'S,63∞10'W
Bolivia,Sucre,19∞03'S,65∞15'W
Bosnia,Sarajevo,43∞51'N,18∞21'E
Botswana,Francistown,21∞10'S,27∞31'E
Botswana,Gaborone,24∞39'S,25∞55'E
Brazil,Palmas,10∞11'S,48∞20'W
Brazil,SÃ£o Paulo,23∞33'S,46∞38'W
Brazil,Fortaleza,3∞43'S,38∞33'W
Brazil,Boa Vista,2∞49'N,60∞40'W
Brazil,Teresina,5∞06'S,42∞48'W
Brazil,Juazeiro do Norte,7∞12'S,39∞20'W
Brazil,Fernando de Noronha,3∞51'S,32∞25'W
Brazil,Sobral,3∞40'S,40∞14'W
Brazil,CuiabÃ¡,15∞36'S,56∞06'W
Brazil,Garanhuns,8∞53'S,36∞30'W
Brazil,Rio de Janeiro,22∞55'S,43∞12'W
Brazil,SÃ£o JosÃ© do Rio Preto,20∞48'S,49∞23'W
Brazil,BelÃ©m,1∞27'S,48∞30'W
Brazil,Salvador,12∞58'S,38∞29'W
Brazil,Campina Grande,7∞14'S,35∞53'W
Brazil,Imperatriz,5∞32'S,47∞29'W
Brazil,MaceiÃ_,9∞40'S,35∞44'W
Brazil,SÃ£o JosÃ© dos Campos,23∞11'S,45∞53'W
Brazil,IlhÃ©us,14∞47'S,39∞03'W
Brazil,JoÃ£o Pessoa,7∞05'S,34∞50'W
Brazil,Petrolina,9∞24'S,40∞30'W
Brazil,MacapÃ¡,0∞02'N,51∞04'W
Brazil,Recife,8∞03'S,34∞54'W
Brazil,Campo Grande,20∞28'S,54∞37'W
Brazil,SÃ£o LuÃ_s,2∞32'S,44∞18'W
Brazil,Assis,22∞40'S,50∞25'W
Bulgaria,Sofia,42∞42'N,23∞20'E
Burkina Faso,Bobo-Dioulasso,11∞11'N,4∞17'W
Burkina Faso,Ouagadougou,12∞21'N,1∞32'W
Cambodia,Siem Reap,13∞22'N,103∞52'E
Canada,Regina,50∞27'N,104∞36'W
Canada,Grise Fiord,76∞25'N,82∞54'W
Canada,North Bay,46∞18'N,79∞27'W
Canada,Grande Prairie,55∞10'N,118∞48'W
Canada,Charlottetown,46∞14'N,63∞09'W
Canada,Ottawa,45∞25'N,75∞41'W
Canada,Yellowknife,62∞27'N,114∞24'W
Canada,Winnipeg,49∞54'N,97∞08'W
Canada,Toronto,43∞42'N,79∞24'W
Canada,Montreal,45∞30'N,73∞34'W
Canada,Saskatoon,52∞08'N,106∞41'W
Canada,Kamloops,50∞41'N,120∞20'W
Canada,Fort McMurray,56∞44'N,111∞23'W
Canada,Whitehorse,60∞43'N,135∞03'W
Canada,Quebec City,46∞49'N,71∞13'W
Canada,Calgary,51∞03'N,114∞04'W
Chad,Moundou,8∞34'N,16∞05'E
Chile,Valdivia,39∞49'S,73∞15'W
Chile,Iquique,20∞13'S,70∞09'W
Chile,Hanga Roa,27∞09'S,109∞26'W
Chile,Puerto AisÃ©n,45∞24'S,72∞41'W
Chile,CopiapÃ_,27∞22'S,70∞20'W
Chile,ValparaÃ_so,33∞03'S,71∞37'W
Chile,Arica,18∞29'S,70∞20'W
Chile,La Serena,29∞54'S,71∞15'W
Chile,ConcepciÃ_n,36∞50'S,73∞03'W
China,Chengdu,30∞40'N,104∞04'E
China,Zhengzhou,34∞46'N,113∞39'E
China,Shanghai,31∞12'N,121∞30'E
China,Shenyang,41∞49'N,123∞25'E
China,Tianjin,39∞08'N,117∞11'E
China,Handan,36∞36'N,114∞29'E
China,Xi'an,34∞16'N,108∞54'E
China,Changchun,43∞54'N,125∞12'E
China,Hong Kong,22∞17'N,114∞10'E
China,Shenzhen,22∞33'N,114∞06'E
China,Shijiazhuang,38∞03'N,114∞30'E
China,Qingdao,36∞04'N,120∞23'E
China,Lhasa,29∞39'N,91∞06'E
China,Qiqihar,47∞26'N,123∞27'E
Colombia,Santiago de Cali,3∞25'N,76∞31'W
Costa Rica,Alajuela,10∞01'N,84∞13'W
Costa Rica,San JosÃ©,9∞56'N,84∞05'W
Costa Rica,Limon,9∞59'N,83∞02'W
Croatia,Split,43∞30'N,16∞26'E
Cuba,Havana,23∞08'N,82∞23'W
Cuba,Santiago de Cuba,20∞01'N,75∞49'W
Denmark,TÃ_rshavn,62∞01'N,6∞46'W
Denmark,Aarhus,56∞09'N,10∞13'E
Denmark,Odense,55∞24'N,10∞23'E
Denmark,Esbjerg,55∞29'N,8∞27'E
Denmark,Qaanaaq,77∞28'N,69∞14'W
Denmark,Nuuk (GodthÃ¥b),64∞11'N,51∞44'W
Dominica,Roseau,15∞18'N,61∞23'W
Ecuador,Guayaquil,2∞11'S,79∞53'W
Ecuador,Quito,0∞15'S,78∞35'W
Egypt,Port Said,31∞15'N,32∞17'E
Egypt,Cairo,30∞03'N,31∞14'E
Egypt,Alexandria,31∞12'N,29∞55'E
Egypt,Suez,29∞58'N,32∞33'E
El Salvador,San Salvador,13∞41'N,89∞11'W
Estonia,Tallinn,59∞26'N,24∞45'E
Fiji,Labasa,16∞26'S,179∞22'E
Fiji,Rabi Island,16∞30'S,180∞00'W
Finland,Oulu,65∞01'N,25∞28'E
Finland,Kemi,65∞44'N,24∞34'E
Finland,Kuopio,62∞54'N,27∞41'E
Finland,Helsinki,60∞10'N,24∞56'E
Finland,PudasjÃ_rvi,65∞22'N,27∞00'E
Finland,Utsjoki,69∞54'N,27∞01'E
Finland,JyvÃ_skylÃ_,62∞15'N,25∞45'E
France,Lyon,45∞46'N,4∞51'E
France,Mata-Utu,13∞17'S,176∞11'W
France,Cayenne,4∞55'N,52∞20'W
France,Saint-Denis,20∞53'S,55∞27'E
France,Marseille,43∞18'N,5∞22'E
France,Saint-Pierre,46∞47'N,56∞11'W
France,Fort-de-France,14∞36'N,61∞05'W
France,Bordeaux,44∞50'N,0∞35'W
France,Toulouse,43∞36'N,1∞27'E
France,Nantes,47∞13'N,1∞33'W
Gambia,Brikama,13∞16'N,16∞39'W
Gambia,Banjul,13∞27'N,16∞35'W
Georgia,Tbilisi,41∞43'N,44∞47'E
Germany,DÃ_sseldorf,51∞14'N,6∞47'E
Germany,Hannover,52∞22'N,9∞43'E
Germany,Hamburg,53∞34'N,10∞00'E
Germany,Cologne,50∞57'N,6∞58'E
Germany,Kiel,54∞20'N,10∞08'E
Germany,Stuttgart,48∞47'N,9∞11'E
Germany,Frankfurt am Main,50∞07'N,8∞41'E
Germany,Bremen,53∞05'N,8∞48'E
Ghana,Tamale,9∞24'N,0∞51'W
Greece,Thessaloniki,40∞39'N,22∞54'E
Greece,Heraklion,35∞20'N,25∞08'E
Guatemala,Quetzaltenango,14∞50'N,91∞31'W
Guinea,NzÃ©rÃ©korÃ©,7∞45'N,8∞49'W
Guinea-Bissau,Bissau,11∞51'N,15∞34'W
Honduras,Tegucigalpa,14∞06'N,87∞13'W
Hungary,Budapest,47∞28'N,19∞03'E
Iceland,Akureyri,65∞41'N,18∞06'W
India,Kulpahar,25∞19'N,79∞38'E
India,Bangalore,12∞58'N,77∞34'E
India,Agartala,23∞50'N,91∞16'E
India,Dibrugarh,27∞29'N,95∞00'E
India,Hyderabad,17∞22'N,78∞29'E
India,Agra,27∞11'N,78∞01'E
India,Ahmedabad,23∞02'N,72∞35'E
India,Pune,18∞31'N,73∞51'E
India,Ludhiana,30∞55'N,75∞51'E
India,Nagpur,21∞08'N,79∞05'E
India,Patna,25∞37'N,85∞09'E
India,Guwahati,26∞11'N,91∞44'E
India,Kanpur,26∞28'N,80∞20'E
India,Trivandrum,8∞29'N,76∞57'E
India,Mumbai,18∞59'N,72∞50'E
India,Kochi,9∞58'N,76∞17'E
India,Port Blair,11∞40'N,92∞46'E
India,Lucknow,26∞51'N,80∞57'E
India,Chandigarh,30∞45'N,76∞47'E
India,Tezpur,26∞38'N,92∞48'E
India,Siliguri,26∞43'N,88∞26'E
Indonesia,Medan,3∞35'N,98∞40'E
Indonesia,Palembang,2∞59'S,104∞45'E
Indonesia,Jayapura,2∞32'S,140∞43'E
Indonesia,Semarang,6∞58'S,110∞25'E
Indonesia,Pontianak,0∞01'S,109∞20'E
Indonesia,Jakarta,6∞12'S,106∞48'E
Indonesia,Banda Aceh,5∞33'N,95∞19'E
Indonesia,Balikpapan,1∞16'S,116∞50'E
Indonesia,Malang,7∞59'S,112∞37'E
Iran,Isfahan,32∞38'N,51∞39'E
Iraq,Basra,30∞30'N,47∞49'E
Iraq,Arbil,36∞11'N,44∞01'E
Iraq,Kirkuk,35∞28'N,44∞19'E
Ireland,Dublin,53∞21'N,6∞16'W
Ireland,Cork,51∞54'N,8∞28'W
Italy,Turin,45∞04'N,7∞42'E
Italy,Rome,41∞54'N,12∞30'E
Italy,Catania,37∞30'N,15∞05'E
Italy,Bologna,44∞30'N,11∞21'E
Italy,Milan,45∞28'N,9∞11'E
Italy,Palermo,38∞07'N,13∞22'E
Italy,Messina,38∞11'N,15∞33'E
Japan,Tottori,35∞30'N,134∞14'E
Japan,Nemuro,43∞20'N,145∞35'E
Japan,Asahikawa,43∞46'N,142∞22'E
Japan,Fukushima,37∞46'N,140∞28'E
Japan,Niigata,37∞55'N,139∞02'E
Japan,Tsu,34∞43'N,136∞30'E
Japan,Sapporo,43∞04'N,141∞21'E
Japan,Akita,39∞43'N,140∞07'E
Japan,Okayama,34∞39'N,133∞55'E
Japan,Shizuoka,34∞59'N,138∞23'E
Japan,Kushiro,42∞59'N,144∞23'E
Japan,Kumamoto,32∞47'N,130∞44'E
Japan,Saga,33∞16'N,130∞18'E
Japan,Yokohama,35∞27'N,139∞38'E
Japan,Chiba,35∞36'N,140∞06'E
Japan,Matsuyama,33∞50'N,132∞46'E
Japan,Toyama,36∞42'N,137∞13'E
Japan,Yamaguchi,34∞11'N,131∞28'E
Japan,Nagano,36∞38'N,138∞11'E
Japan,Kawasaki,35∞31'N,139∞42'E
Japan,Wakkanai,45∞25'N,141∞40'E
Japan,KÅçfu,35∞40'N,138∞34'E
Japan,KÅçbe,34∞41'N,135∞12'E
Japan,Maebashi,36∞23'N,139∞04'E
Japan,ÅŒtsu,35∞01'N,135∞51'E
Japan,Hakodate,41∞46'N,140∞44'E
Japan,Nara,34∞41'N,135∞48'E
Japan,KÅçchi,33∞34'N,133∞32'E
Japan,Nagasaki,32∞47'N,129∞52'E
Japan,Morioka,39∞41'N,141∞09'E
Kazakhstan,Astana,51∞10'N,71∞26'E
Latvia,Riga,56∞57'N,24∞06'E
Libya,Sabha,27∞02'N,14∞26'E
Libya,Benghazi,32∞07'N,20∞04'E
Libya,Tripoli,32∞54'N,13∞11'E
Luxembourg,Luxembourg,49∞37'N,6∞07'E
Madagascar,Antananarivo,18∞56'S,47∞31'E
Malawi,Lilongwe,13∞59'S,33∞47'E
Malaysia,George Town,5∞25'N,100∞19'E
Malaysia,Kota Bharu,6∞08'N,102∞15'E
Malaysia,Kuala Lumpur,3∞09'N,101∞42'E
Malaysia,Kuching,1∞34'N,110∞21'E
Malaysia,Malacca Town,2∞12'N,102∞15'E
Maldives,MalÃ©,4∞11'N,73∞31'E
Mali,Bamako,12∞39'N,8∞00'W
Mali,Koulikoro,12∞52'N,7∞34'W
Malta,Valletta,35∞54'N,14∞31'E
Maluku,Ambon,3∞42'S,128∞10'E
Marshall Islands,Majuro,7∞04'N,171∞16'E
Mexico,Zapopan,20∞43'N,103∞24'W
Mexico,Ensenada,31∞51'N,116∞36'W
Mexico,QuerÃ©taro,20∞35'N,100∞24'W
Mexico,Acapulco,16∞52'N,99∞53'W
Mexico,Mexico City Mexico City,19∞26'N,99∞08'W
Mexico,CancÃºn,21∞10'N,86∞51'W
Mexico,CuliacÃ¡n,24∞48'N,107∞23'W
Mexico,LeÃ_n,21∞07'N,101∞41'W
Mexico,Mexicali,32∞40'N,115∞28'W
Mexico,Chihuahua,28∞38'N,106∞05'W
Mexico,MÃ©rida,20∞58'N,89∞37'W
Mexico,Hermosillo,29∞06'N,110∞57'W
Moldova,Tiraspol,46∞51'N,29∞38'E
Mongolia,Ulan Bator,47∞55'N,106∞55'E
Montenegro,Podgorica,42∞26'N,19∞16'E
Morocco,Marrakech,31∞38'N,8∞01'W
Mozambique,Maputo,25∞58'S,32∞35'E
Namibia,Windhoek,22∞34'S,17∞05'E
Netherlands,Maastricht,50∞51'N,5∞41'E
Netherlands,Utrecht,52∞06'N,5∞07'E
Netherlands,Oranjestad,12∞31'N,70∞02'W
Netherlands,Haarlem,52∞23'N,4∞38'E
Netherlands,Leiden,52∞10'N,4∞29'E
Netherlands,Groningen,53∞13'N,6∞33'E
New Zealand,Invercargill,46∞25'S,168∞21'E
New Zealand,Wellington,41∞17'S,174∞47'E
New Zealand,Alofi,19∞03'S,169∞55'W
New Zealand,Christchurch,43∞32'S,172∞37'E
Nicaragua,Chinandega,12∞37'N,87∞09'W
Nicaragua,Managua,12∞08'N,86∞15'W
Nigeria,Benin City,6∞19'N,5∞36'E
North Korea,Kaesong,37∞58'N,126∞33'E
North Korea,Pyongyang,39∞01'N,125∞44'E
Norway,Sarpsborg,59∞17'N,11∞12'E
Norway,Longyearbyen,78∞13'N,15∞39'E
Norway,TromsÃ¸,69∞41'N,18∞57'E
Norway,Oslo,59∞57'N,10∞45'E
Norway,HonningsvÃ¥g,70∞59'N,25∞59'E
Norway,Trondheim,63∞26'N,10∞24'E
Norway,Hammerfest,70∞40'N,23∞41'E
Norway,VadsÃ¸,70∞05'N,29∞44'E
Pakistan,Lahore,31∞33'N,74∞21'E
Pakistan,Rawalpindi,33∞36'N,73∞02'E
Pakistan,Islamabad,33∞43'N,73∞04'E
Pakistan,Faisalabad,31∞25'N,73∞05'E
Palau,Melekeok,7∞29'N,134∞36'E
Palestine,Gaza,31∞31'N,34∞27'E
Papua New Guinea,Port Moresby,9∞31'S,147∞13'E
Paraguay,AsunciÃ_n,25∞17'S,57∞38'W
Peru,Lima,12∞03'S,77∞02'W
Peru,Arequipa,16∞24'S,71∞32'W
Peru,Cusco,13∞32'S,71∞58'W
Peru,Iquitos,3∞44'S,73∞15'W
Philippines,Zamboanga City,6∞54'N,122∞04'E
Philippines,Iloilo City,10∞43'N,122∞34'E
Philippines,Makati,14∞33'N,121∞02'E
Philippines,Manila,14∞35'N,120∞58'E
Philippines,Davao City,7∞04'N,125∞36'E
Philippines,Quezon City,14∞38'N,121∞02'E
Poland,PoznaÅ„,52∞24'N,16∞55'E
Poland,GdaÅ„sk,54∞22'N,18∞38'E
Poland,Gdynia,54∞30'N,18∞33'E
Portugal,Flores Island,39∞28'N,31∞14'W
Portugal,Funchal,32∞39'N,16∞55'W
Portugal,Ponta Delgada,37∞49'N,25∞45'W
Portugal,Porto,41∞10'N,8∞37'W
Qatar,Doha,25∞17'N,51∞32'E
Romania,Craiova,44∞20'N,23∞49'E
Russia,Vladivostok,43∞08'N,131∞54'E
Russia,Perm,58∞00'N,56∞19'E
Russia,Voronezh,51∞40'N,39∞13'E
Russia,Saint Petersburg,59∞57'N,30∞18'E
Russia,Ufa,54∞45'N,55∞58'E
Russia,Chelyabinsk,55∞09'N,61∞23'E
Russia,Izhevsk,56∞50'N,53∞11'E
Russia,Sochi,43∞35'N,39∞43'E
Russia,Krasnodar,45∞02'N,38∞58'E
Russia,Magadan,59∞34'N,150∞48'E
Russia,Kaliningrad,54∞43'N,20∞31'E
Russia,Verkhoyansk,67∞33'N,133∞23'E
Russia,Murmansk,68∞58'N,33∞05'E
Russia,Tolyatti,53∞31'N,49∞25'E
Russia,Dikson,73∞30'N,80∞31'E
Russia,Moscow,55∞45'N,37∞37'E
Russia,Yakutsk,62∞02'N,129∞44'E
Russia,Anadyr,64∞44'N,177∞31'E
Saint Kitts and Nevis,Basseterre,17∞18'N,62∞44'W
Saudi Arabia,Dammam,26∞17'N,50∞12'E
Saudi Arabia,Medina,24∞28'N,39∞36'E
Senegal,ThiÃ¨s,14∞47'N,16∞55'W
Serbia,Å abac,44∞45'N,19∞42'E
Serbia,Novi Sad,45∞15'N,19∞51'E
Seychelles,Victoria,4∞37'S,55∞27'E
Sierra Leone,Freetown,8∞29'N,13∞14'W
Slovakia,Bratislava,48∞09'N,17∞07'E
Somalia,Mogadishu,2∞02'N,45∞21'E
Somalia,Kismayo,0∞21'S,42∞33'E
Somalia,Hargeisa,9∞33'N,44∞4'E
South Africa,Nelspruit,25∞28'S,30∞59'E
South Africa,Bloemfontein,29∞07'S,26∞13'E
South Africa,Kimberley,28∞45'S,24∞46'E
South Africa,Cape Town,33∞56'S,18∞25'E
South Africa,Pietermaritzburg,29∞37'S,30∞23'E
South Africa,Port Elizabeth,33∞57'S,25∞36'E
South Korea,Daegu,35∞52'N,128∞36'E
South Korea,Seoul,37∞34'N,126∞59'E
South Korea,Busan,35∞11'N,129∞05'E
South Sudan,Juba,4∞51'N,31∞36'E
Spain,Ibiza,38∞59'N,1∞26'E
Spain,Sevilla,37∞23'N,5∞59'W
Spain,Las Palmas de Gran Canaria,28∞09'N,15∞25'W
Spain,Barcelona,41∞23'N,2∞11'E
Spain,San SebastiÃ¡n,43∞19'N,2∞00'W
Spain,Santa Cruz de Tenerife,28∞28'N,16∞15'W
Sri Lanka,Batticaloa,7∞43'N,81∞42'E
Sri Lanka,Colombo,6∞56'N,79∞51'E
Sri Lanka,Kandy,7∞18'N,80∞38'E
Sudan,Khartoum,15∞38'N,32∞32'E
Swaziland,Lobamba,26∞25'S,31∞10'E
Swaziland,Manzini,26∞29'S,31∞22'E
Sweden,Ã–stersund,63∞11'N,14∞40'E
Sweden,Ã–rnskÃ¶ldsvik,63∞17'N,18∞44'E
Sweden,Haparanda,65∞50'N,24∞08'E
Sweden,Kiruna,67∞51'N,20∞13'E
Sweden,Boden,65∞50'N,21∞43'E
Sweden,MalmÃ¶,55∞35'N,13∞02'E
Sweden,LuleÃ¥,65∞35'N,22∞09'E
Switzerland,Basel,47∞34'N,7∞36'E
Switzerland,Bern,46∞57'N,7∞27'E
Syria,Latakia,35∞31'N,35∞47'E
Taiwan,Taibei,25∞02'N,121∞38'E
Taiwan,Tainan,22∞59'N,120∞11'E
Tajikistan,Dushanbe,38∞32'N,68∞47'E
Tanzania,Dodoma,6∞10'S,35∞45'E
Tanzania,Zanzibar City,6∞10'S,39∞12'E
Thailand,Pattaya,12∞56'N,100∞53'E
Thailand,Surat Thani,9∞08'N,99∞20'E
Thailand,Nakhon Ratchasima,14∞59'N,102∞06'E
Thailand,Hat Yai,7∞01'N,100∞28'E
Thailand,Ayutthaya,14∞21'N,100∞34'E
Timor-Leste,Dili,8∞33'S,125∞35'E
Tonga,NukuÊ»alofa,21∞08'S,175∞12'W
Trinidad and Tobago,Chaguanas,10∞30'N,61∞23'W
Turkey,Eskisehir,39∞47'N,30∞31'E
Turkey,Gaziantep,37∞04'N,37∞23'E
Turkey,Istanbul,41∞01'N,28∞57'E
Turkmenistan,Ashgabat,37∞56'N,58∞22'E
Tuvalu,Nukulaelae,9∞23'S,179∞51'E
Uganda,Entebbe,0∞03'N,32∞28'E
United Arab Emirates,Abu Dhabi,24∞28'N,54∞22'E
United Kingdom,Jamestown,15∞55'S,5∞43'W
United Kingdom,Coventry,52∞24'N,1∞31'W
United Kingdom,Grytviken,54∞17'S,36∞30'W
United Kingdom,Nottingham,52∞57'N,1∞08'W
United Kingdom,Glasgow,55∞51'N,4∞16'W
United Kingdom,Birmingham,52∞29'N,1∞54'W
United Kingdom,Oxford,51∞45'N,1∞15'W
United Kingdom,Bath,51∞23'N,2∞22'W
United Kingdom,Bristol,51∞27'N,2∞35'W
United Kingdom,Gloucester,51∞52'N,2∞14'W
United Kingdom,George Town,19∞18'N,81∞23'W
United Kingdom,London,51∞30'N,0∞08'W
United Kingdom,The Valley,18∞13'N,63∞03'W
United Kingdom,Portsmouth,50∞49'N,1∞05'W
United Kingdom,Plymouth,50∞22'N,4∞09'W
United Kingdom,Douglas,54∞09'N,4∞29'W
United Kingdom,Gibraltar,36∞08'N,5∞21'W
United Kingdom,Rothera,67∞34'S,68∞08'W
United Kingdom,Cockburn Town,21∞28'N,71∞08'W
United Kingdom,Derby,52∞55'N,1∞28'W
United Kingdom,Swansea,51∞37'N,3∞57'W
United Kingdom,Newcastle upon Tyne,54∞58'N,1∞37'W
United Kingdom,Hamilton,32∞18'N,64∞47'W
United Kingdom,Aberdeen,57∞09'N,4∞07'W
United Kingdom,Norwich,52∞38'N,1∞18'E
United Kingdom,Bradford,53∞48'N,1∞45'W
United States,El Paso,31∞47'N,106∞25'W
United States,Dover,39∞10'N,75∞32'W
United States,Boise,43∞37'N,116∞12'W
United States,Rochester,43∞10'N,77∞37'W
United States,Kansas City,39∞06'N,94∞35'W
United States,Salt Lake City,40∞45'N,111∞53'W
United States,Seattle,47∞37'N,122∞20'W
United States,Cleveland,41∞29'N,81∞40'W
United States,Knoxville,35∞58'N,83∞57'W
United States,Houston,29∞46'N,95∞23'W
United States,Orlando,28∞25'N,81∞18'W
United States,Cheyenne,41∞09'N,104∞48'W
United States,Dededo,13∞31'N,144∞50'E
United States,Deadhorse,70∞12'N,148∞31'W
United States,Detroit,42∞20'N,83∞03'W
United States,Philadelphia,39∞57'N,75∞10'W
United States,Trenton,40∞13'N,74∞46'W
United States,Barrow,71∞18'N,156∞46'W
United States,Sacramento,38∞33'N,121∞28'W
United States,Nashville,36∞10'N,86∞47'W
United States,Charlotte,35∞14'N,80∞51'W
United States,Riverside,33∞57'N,117∞24'W
United States,Los Angeles,34∞03'N,118∞15'W
United States,Charleston,32∞47'N,79∞56'W
United States,Boston,42∞21'N,71∞04'W
United States,Tulsa,36∞08'N,95∞56'W
United States,Pierre,44∞22'N,100∞20'W
United States,Birmingham,33∞39'N,86∞49'W
United States,Bismarck,46∞49'N,100∞47'W
United States,Hartford,41∞46'N,72∞40'W
United States,Hilo,19∞42'N,155∞05'W
United States,Wichita,37∞41'N,97∞20'W
United States,Columbus,39∞59'N,82∞59'W
United States,Providence,41∞49'N,71∞25'W
United States,Sitka,57∞03'N,135∞20'W
United States,New Orleans,29∞58'N,90∞03'W
United States,Pago Pago,14∞17'S,170∞42'W
United States,Lincoln,40∞49'N,96∞41'W
United States,Adak,51∞53'N,176∞39'W
United States,Charlotte Amalie,18∞21'N,64∞57'W
United States,Pittsburgh,40∞27'N,80∞00'W
United States,Jacksonville,30∞20'N,81∞40'W
United States,Little Rock,34∞44'N,92∞20'W
United States,Minneapolis,44∞59'N,93∞16'W
United States,San Antonio,29∞25'N,98∞30'W
United States,Helena,46∞36'N,112∞02'W
United States,Springfield,37∞12'N,93∞17'W
United States,Baltimore,39∞17'N,76∞37'W
United States,Tampa,27∞57'N,82∞28'W
United States,Tucson,32∞13'N,110∞56'W
United States,Anchorage,61∞13'N,149∞54'W
Vanuatu,Port Vila,17∞45'S,168∞18'E
Venezuela,Caracas,10∞30'N,66∞55'W
Venezuela,Maracay,10∞15'N,67∞36'W
Venezuela,Maracaibo,10∞39'N,71∞38'W
Vietnam,Hai Phong,20∞51'N,106∞41'E
Zambia,Ndola,12∞58'S,28∞38'E
Zimbabwe,Harare,17∞52'S,31∞02'E
